AgBAL001	 Pop_0 	Agerm1_02 	170 	176
AgBAL002	 Pop_0 	Agerm1_02 	170 	174
AgBAL003	 Pop_0 	Agerm1_02 	170 	176
AgBAL004	 Pop_0 	Agerm1_02 	170 	174
AgBAL005	 Pop_0 	Agerm1_02 	176 	176
AgBAL006	 Pop_0 	Agerm1_02 	170 	170
AgBAL007	 Pop_0 	Agerm1_02 	176 	170
AgBAL008	 Pop_0 	Agerm1_02 	176 	176
AgBAL010	 Pop_0 	Agerm1_02 	170 	170
AgBAL011	 Pop_0 	Agerm1_02 	170 	170
AgBAL012	 Pop_0 	Agerm1_02 	170 	176
AgBAL013	 Pop_0 	Agerm1_02 	176 	182
AgBAL014	 Pop_0 	Agerm1_02 	174 	174
AgBAL015	 Pop_0 	Agerm1_02 	170 	176
AgBAL016	 Pop_0 	Agerm1_02 	176 	176
AgBAL017	 Pop_0 	Agerm1_02 	170 	168
AgBAL018	 Pop_0 	Agerm1_02 	170 	182
AgBAL020	 Pop_0 	Agerm1_02 	174 	176
AgBAL021	 Pop_0 	Agerm1_02 	170 	170
AgBAL022	 Pop_0 	Agerm1_02 	176 	176
AgBAL023	 Pop_0 	Agerm1_02 	176 	170
AgBAL024	 Pop_0 	Agerm1_02 	170 	170
AgBAL025	 Pop_0 	Agerm1_02 	170 	176
AgBAL026	 Pop_0 	Agerm1_02 	170 	170
AgBAL027	 Pop_0 	Agerm1_02 	170 	170
AgBAL028	 Pop_0 	Agerm1_02 	176 	170
AgBAL029	 Pop_0 	Agerm1_02 	176 	170
AgBAL030	 Pop_0 	Agerm1_02 	182 	170
AgBAL032	 Pop_0 	Agerm1_02 	182 	176
AgBMR005	 Pop_0 	Agerm1_02 	176 	174
AgBMR006	 Pop_0 	Agerm1_02 	174 	166
AgBMR007	 Pop_0 	Agerm1_02 	176 	174
AgBMR009	 Pop_0 	Agerm1_02 	174 	172
AgBMR010	 Pop_0 	Agerm1_02 	174 	170
AgBMR011	 Pop_0 	Agerm1_02 	174 	172
AgBMR012	 Pop_0 	Agerm1_02 	176 	174
AgBMR013	 Pop_0 	Agerm1_02 	174 	166
AgBMR014	 Pop_0 	Agerm1_02 	174 	174
AgBMR016	 Pop_0 	Agerm1_02 	174 	174
AgBMR017	 Pop_0 	Agerm1_02 	176 	174
AgBMR018	 Pop_0 	Agerm1_02 	172 	174
AgBMR019	 Pop_0 	Agerm1_02 	174 	176
AgBMR020	 Pop_0 	Agerm1_02 	174 	176
AgBMR021	 Pop_0 	Agerm1_02 	174 	172
AgBMR022	 Pop_0 	Agerm1_02 	174 	174
AgBMR023	 Pop_0 	Agerm1_02 	174 	176
AgBMR024	 Pop_0 	Agerm1_02 	174 	176
AgBMR025	 Pop_0 	Agerm1_02 	174 	172
AgBMR026	 Pop_0 	Agerm1_02 	174 	180
AgBMR027	 Pop_0 	Agerm1_02 	174 	166
AgBMR029	 Pop_0 	Agerm1_02 	174 	176
AgBMR030	 Pop_0 	Agerm1_02 	174 	174
AgBMR031	 Pop_0 	Agerm1_02 	174 	174
AgBMR032	 Pop_0 	Agerm1_02 	174 	176
AgBMR033	 Pop_0 	Agerm1_02 	174 	176
AgBMR034	 Pop_0 	Agerm1_02 	174 	174
AgBMR035	 Pop_0 	Agerm1_02 	174 	172
AgBMR036	 Pop_0 	Agerm1_02 	174 	174
AgBMR037	 Pop_0 	Agerm1_02 	176 	166
AgBMR038	 Pop_0 	Agerm1_02 	174 	174
AgBPA001	 Pop_0 	Agerm1_02 	172 	170
AgBPA002	 Pop_0 	Agerm1_02 	174 	176
AgBPA003	 Pop_0 	Agerm1_02 	174 	176
AgBPA004	 Pop_0 	Agerm1_02 	176 	170
AgBPA005	 Pop_0 	Agerm1_02 	176 	170
AgBPA006	 Pop_0 	Agerm1_02 	176 	170
AgBPA007	 Pop_0 	Agerm1_02 	170 	170
AgBPA008	 Pop_0 	Agerm1_02 	174 	176
AgBPA009	 Pop_0 	Agerm1_02 	176 	176
AgBPA010	 Pop_0 	Agerm1_02 	176 	166
AgBPA011	 Pop_0 	Agerm1_02 	170 	172
AgBPA012	 Pop_0 	Agerm1_02 	170 	172
AgBPA013	 Pop_0 	Agerm1_02 	170 	176
AgBPA014	 Pop_0 	Agerm1_02 	170 	174
AgBPA015	 Pop_0 	Agerm1_02 	176 	176
AgBPA016	 Pop_0 	Agerm1_02 	176 	176
AgBPA017	 Pop_0 	Agerm1_02 	170 	176
AgBPA018	 Pop_0 	Agerm1_02 	170 	176
AgBPA019	 Pop_0 	Agerm1_02 	166 	172
AgBPA020	 Pop_0 	Agerm1_02 	170 	170
AgBPA021	 Pop_0 	Agerm1_02 	170 	170
AgBPA022	 Pop_0 	Agerm1_02 	176 	176
AgBPA023	 Pop_0 	Agerm1_02 	176 	176
AgBPA024	 Pop_0 	Agerm1_02 	170 	166
AgBPA025	 Pop_0 	Agerm1_02 	170 	166
AgBPA026	 Pop_0 	Agerm1_02 	176 	176
AgBPA027	 Pop_0 	Agerm1_02 	170 	166
AgBPA028	 Pop_0 	Agerm1_02 	170 	172
AgBPB001	 Pop_0 	Agerm1_02 	170 	176
AgBPB002	 Pop_0 	Agerm1_02 	172 	176
AgBPB003	 Pop_0 	Agerm1_02 	174 	174
AgBPB004	 Pop_0 	Agerm1_02 	172 	176
AgBPB005	 Pop_0 	Agerm1_02 	172 	168
AgBPB006	 Pop_0 	Agerm1_02 	172 	174
AgBPB007	 Pop_0 	Agerm1_02 	172 	172
AgBPB008	 Pop_0 	Agerm1_02 	172 	170
AgBPB009	 Pop_0 	Agerm1_02 	172 	174
AgBPB010	 Pop_0 	Agerm1_02 	172 	174
AgBPB011	 Pop_0 	Agerm1_02 	172 	170
AgBPB012	 Pop_0 	Agerm1_02 	170 	170
AgBPB013	 Pop_0 	Agerm1_02 	170 	174
AgBPB014	 Pop_0 	Agerm1_02 	170 	174
AgBPB015	 Pop_0 	Agerm1_02 	172 	168
AgBPB016	 Pop_0 	Agerm1_02 	172 	172
AgBPB017	 Pop_0 	Agerm1_02 	168 	168
AgBPB018	 Pop_0 	Agerm1_02 	174 	164
AgBPB019	 Pop_0 	Agerm1_02 	172 	168
AgBPB020	 Pop_0 	Agerm1_02 	172 	174
AgBPB021	 Pop_0 	Agerm1_02 	174 	168
AgBPB022	 Pop_0 	Agerm1_02 	172 	164
AgBPB023	 Pop_0 	Agerm1_02 	174 	174
AgBPB024	 Pop_0 	Agerm1_02 	174 	170
AgBPB025	 Pop_0 	Agerm1_02 	170 	170
AgBPB026	 Pop_0 	Agerm1_02 	174 	168
AgBPB027	 Pop_0 	Agerm1_02 	170 	174
AgBTM001	 Pop_1 	Agerm1_02 	174 	174
AgBTM002	 Pop_1 	Agerm1_02 	174 	174
AgBTM003	 Pop_1 	Agerm1_02 	174 	174
AgBTM004	 Pop_1 	Agerm1_02 	174 	174
AgBTM005	 Pop_1 	Agerm1_02 	174 	174
AgBTM006	 Pop_1 	Agerm1_02 	174 	174
AgBTM007	 Pop_1 	Agerm1_02 	174 	174
AgBTM008	 Pop_1 	Agerm1_02 	174 	174
AgBTM009	 Pop_1 	Agerm1_02 	174 	174
AgBTM010	 Pop_1 	Agerm1_02 	174 	174
AgBTM011	 Pop_1 	Agerm1_02 	174 	174
AgBTM012	 Pop_1 	Agerm1_02 	174 	174
AgBTM013	 Pop_1 	Agerm1_02 	174 	174
AgBTM014	 Pop_1 	Agerm1_02 	174 	174
AgBTM015	 Pop_1 	Agerm1_02 	174 	174
AgBTM016	 Pop_1 	Agerm1_02 	174 	174
AgBTM017	 Pop_1 	Agerm1_02 	174 	174
AgBTM018	 Pop_1 	Agerm1_02 	174 	174
AgBTM019	 Pop_1 	Agerm1_02 	174 	174
AgBTM020	 Pop_1 	Agerm1_02 	174 	174
AgBTM021	 Pop_1 	Agerm1_02 	174 	174
AgBTM022	 Pop_1 	Agerm1_02 	174 	174
AgBTM023	 Pop_1 	Agerm1_02 	174 	174
AgBTM024	 Pop_1 	Agerm1_02 	174 	174
AgBTM025	 Pop_1 	Agerm1_02 	174 	174
AgBTM026	 Pop_1 	Agerm1_02 	174 	174
AgBTM027	 Pop_1 	Agerm1_02 	174 	174
AgBTM028	 Pop_1 	Agerm1_02 	174 	174
AgBTM029	 Pop_1 	Agerm1_02 	174 	174
AgBTM030	 Pop_1 	Agerm1_02 	174 	174
AgBTM031	 Pop_1 	Agerm1_02 	174 	174
AgBTM032	 Pop_1 	Agerm1_02 	174 	174
AgBPN001	 Pop_0 	Agerm1_02 	0 	0
AgBPN002	 Pop_0 	Agerm1_02 	176 	176
AgBPN003	 Pop_0 	Agerm1_02 	176 	176
AgBPN004	 Pop_0 	Agerm1_02 	176 	176
AgBPN005	 Pop_0 	Agerm1_02 	176 	176
AgBPN006	 Pop_0 	Agerm1_02 	170 	176
AgBPN007	 Pop_0 	Agerm1_02 	174 	174
AgBPN008	 Pop_0 	Agerm1_02 	176 	176
AgBPN009	 Pop_0 	Agerm1_02 	170 	176
AgBPN010	 Pop_0 	Agerm1_02 	176 	176
AgBPN011	 Pop_0 	Agerm1_02 	176 	176
AgBPN012	 Pop_0 	Agerm1_02 	176 	176
AgBPN013	 Pop_0 	Agerm1_02 	170 	170
AgBPN014	 Pop_0 	Agerm1_02 	176 	176
AgBPN015	 Pop_0 	Agerm1_02 	176 	176
AgBPN016	 Pop_0 	Agerm1_02 	176 	176
AgBPN017	 Pop_0 	Agerm1_02 	170 	176
AgBPN018	 Pop_0 	Agerm1_02 	170 	170
AgBPN019	 Pop_0 	Agerm1_02 	176 	176
AgBPN020	 Pop_0 	Agerm1_02 	170 	176
AgBPN021	 Pop_0 	Agerm1_02 	176 	176
AgBPN022	 Pop_0 	Agerm1_02 	176 	176
AgBPN023	 Pop_0 	Agerm1_02 	170 	176
AgBPN024	 Pop_0 	Agerm1_02 	176 	176
AgBPN025	 Pop_0 	Agerm1_02 	174 	176
AgBPN026	 Pop_0 	Agerm1_02 	176 	178
AgBPN027	 Pop_0 	Agerm1_02 	170 	176
AgBPN028	 Pop_0 	Agerm1_02 	176 	176
AgBPN029	 Pop_0 	Agerm1_02 	174 	176
AgBPR003	 Pop_0 	Agerm1_02 	174 	176
AgBPR004	 Pop_0 	Agerm1_02 	174 	174
AgBPR006	 Pop_0 	Agerm1_02 	170 	170
AgBPR008	 Pop_0 	Agerm1_02 	170 	176
AgBPR010	 Pop_0 	Agerm1_02 	180 	180
AgBAL001	 Pop_0 	Agerm1_03 	161 	161
AgBAL002	 Pop_0 	Agerm1_03 	161 	155
AgBAL003	 Pop_0 	Agerm1_03 	161 	161
AgBAL004	 Pop_0 	Agerm1_03 	161 	161
AgBAL005	 Pop_0 	Agerm1_03 	161 	161
AgBAL006	 Pop_0 	Agerm1_03 	161 	155
AgBAL007	 Pop_0 	Agerm1_03 	161 	161
AgBAL008	 Pop_0 	Agerm1_03 	161 	161
AgBAL010	 Pop_0 	Agerm1_03 	161 	161
