AgMSA001	 pop_0 	AgermCT004 	345 	345
AgMSA002	 pop_0 	AgermCT004 	345 	345
AgMSA003	 pop_0 	AgermCT004 	345 	345
AgMSA004	 pop_0 	AgermCT004 	345 	345
AgMSA005	 pop_0 	AgermCT004 	345 	345
AgMSA006	 pop_0 	AgermCT004 	345 	345
AgMSA007	 pop_0 	AgermCT004 	345 	345
AgMSA008	 pop_0 	AgermCT004 	345 	345
AgMSA009	 pop_0 	AgermCT004 	345 	345
AgMSA010	 pop_0 	AgermCT004 	345 	345
AgMSA011	 pop_0 	AgermCT004 	345 	345
AgMSA012	 pop_0 	AgermCT004 	0 	0
AgMSA013	 pop_0 	AgermCT004 	0 	0
AgMSA014	 pop_0 	AgermCT004 	0 	0
AgMSA015	 pop_0 	AgermCT004 	0 	0
AgMSA016	 pop_0 	AgermCT004 	0 	0
AgMSA017	 pop_0 	AgermCT004 	0 	0
AgMSA018	 pop_0 	AgermCT004 	0 	0
AgMSA019	 pop_0 	AgermCT004 	345 	345
AgMSA020	 pop_0 	AgermCT004 	0 	0
AgMSA021	 pop_0 	AgermCT004 	345 	345
AgMSA022	 pop_0 	AgermCT004 	345 	345
AgMSA023	 pop_0 	AgermCT004 	345 	345
AgMSA024	 pop_0 	AgermCT004 	345 	345
AgMSA025	 pop_0 	AgermCT004 	345 	345
AgMSA026	 pop_0 	AgermCT004 	345 	345
AgMSA027	 pop_0 	AgermCT004 	345 	345
AgMSA028	 pop_0 	AgermCT004 	345 	345
AgMSA029	 pop_0 	AgermCT004 	0 	0
AgMSA030	 pop_0 	AgermCT004 	345 	345
AgMSA031	 pop_0 	AgermCT004 	345 	345
AgMSA032	 pop_0 	AgermCT004 	345 	345
AgMSA033	 pop_0 	AgermCT004 	345 	345
AgMSA034	 pop_0 	AgermCT004 	345 	345
AgMSA035	 pop_0 	AgermCT004 	345 	345
AgMSA036	 pop_0 	AgermCT004 	345 	345
AgMSA037	 pop_0 	AgermCT004 	345 	345
AgMSA038	 pop_0 	AgermCT004 	345 	345
AgMSA039	 pop_0 	AgermCT004 	345 	345
AgMSA040	 pop_0 	AgermCT004 	345 	345
AgMBC001	 pop_0 	AgermCT004 	345 	345
AgMBC002	 pop_0 	AgermCT004 	345 	345
AgMBC003	 pop_0 	AgermCT004 	0 	0
AgMBC004	 pop_0 	AgermCT004 	0 	0
AgMBC005	 pop_0 	AgermCT004 	0 	0
AgMBC006	 pop_0 	AgermCT004 	345 	345
AgMBC007	 pop_0 	AgermCT004 	0 	0
AgMBC008	 pop_0 	AgermCT004 	0 	0
AgMBC009	 pop_0 	AgermCT004 	0 	0
AgMBC010	 pop_0 	AgermCT004 	345 	345
AgMBC011	 pop_0 	AgermCT004 	345 	345
AgMBC012	 pop_0 	AgermCT004 	345 	345
AgMBC013	 pop_0 	AgermCT004 	345 	345
AgMBC014	 pop_0 	AgermCT004 	345 	349
AgMBC015	 pop_0 	AgermCT004 	0 	0
AgMBC016	 pop_0 	AgermCT004 	0 	0
AgMBC017	 pop_0 	AgermCT004 	0 	0
AgMBC018	 pop_0 	AgermCT004 	345 	345
AgMBC019	 pop_0 	AgermCT004 	0 	0
AgMBC020	 pop_0 	AgermCT004 	345 	345
AgMBC021	 pop_0 	AgermCT004 	345 	345
AgMBC022	 pop_0 	AgermCT004 	345 	345
AgMBC023	 pop_0 	AgermCT004 	345 	345
AgMBC024	 pop_0 	AgermCT004 	0 	0
AgMBC025	 pop_0 	AgermCT004 	0 	0
AgMBC026	 pop_0 	AgermCT004 	0 	0
AgMBC027	 pop_0 	AgermCT004 	345 	345
AgMBC028	 pop_0 	AgermCT004 	345 	345
AgMBC029	 pop_0 	AgermCT004 	345 	345
AgMBC030	 pop_0 	AgermCT004 	345 	345
AgMBC031	 pop_0 	AgermCT004 	0 	0
AgMBC032	 pop_0 	AgermCT004 	345 	345
AgMBC033	 pop_0 	AgermCT004 	345 	345
AgMBC034	 pop_0 	AgermCT004 	345 	345
AgMBC035	 pop_0 	AgermCT004 	345 	345
AgMBC036	 pop_0 	AgermCT004 	345 	345
AgMBC037	 pop_0 	AgermCT004 	345 	345
AgMBC038	 pop_0 	AgermCT004 	345 	345
AgMBC039	 pop_0 	AgermCT004 	345 	345
AgMBC040	 pop_0 	AgermCT004 	345 	345
AgMTO001	 pop_0 	AgermCT004 	345 	345
AgMTO002	 pop_0 	AgermCT004 	345 	345
AgMTO003	 pop_0 	AgermCT004 	345 	345
AgMTO004	 pop_0 	AgermCT004 	345 	345
AgMTO005	 pop_0 	AgermCT004 	345 	345
AgMTO006	 pop_0 	AgermCT004 	345 	345
AgMTO007	 pop_0 	AgermCT004 	345 	345
AgMTO008	 pop_0 	AgermCT004 	345 	345
AgMTO009	 pop_0 	AgermCT004 	345 	345
AgMTO010	 pop_0 	AgermCT004 	345 	345
AgMTO011	 pop_0 	AgermCT004 	345 	345
AgMTO012	 pop_0 	AgermCT004 	345 	345
AgMTO013	 pop_0 	AgermCT004 	345 	345
AgMTO014	 pop_0 	AgermCT004 	345 	345
AgMTO015	 pop_0 	AgermCT004 	345 	345
AgMTO016	 pop_0 	AgermCT004 	345 	345
AgMTO017	 pop_0 	AgermCT004 	345 	345
AgMTO018	 pop_0 	AgermCT004 	345 	345
AgMTO019	 pop_0 	AgermCT004 	345 	345
AgMTO020	 pop_0 	AgermCT004 	345 	345
AgMTO021	 pop_0 	AgermCT004 	345 	345
AgMTO022	 pop_0 	AgermCT004 	345 	345
AgMTO023	 pop_0 	AgermCT004 	345 	345
AgMTO024	 pop_0 	AgermCT004 	345 	345
AgMTO025	 pop_0 	AgermCT004 	345 	345
AgMTO026	 pop_0 	AgermCT004 	345 	345
AgMTO027	 pop_0 	AgermCT004 	345 	345
AgMTO028	 pop_0 	AgermCT004 	345 	345
AgMTO029	 pop_0 	AgermCT004 	345 	345
AgMTO030	 pop_0 	AgermCT004 	345 	345
AgMTO031	 pop_0 	AgermCT004 	345 	345
AgMTO032	 pop_0 	AgermCT004 	345 	345
AgMTO033	 pop_0 	AgermCT004 	345 	345
AgMTO034	 pop_0 	AgermCT004 	345 	345
AgMTO035	 pop_0 	AgermCT004 	345 	345
AgMTO036	 pop_0 	AgermCT004 	345 	345
AgMTO037	 pop_0 	AgermCT004 	345 	345
AgMTO038	 pop_0 	AgermCT004 	345 	345
AgMTO039	 pop_0 	AgermCT004 	345 	345
AgMTO040	 pop_0 	AgermCT004 	345 	345
AgMBM001	 pop_0 	AgermCT004 	345 	345
AgMBM002	 pop_0 	AgermCT004 	345 	345
AgMBM003	 pop_0 	AgermCT004 	345 	345
AgMBM004	 pop_0 	AgermCT004 	345 	345
AgMBM005	 pop_0 	AgermCT004 	345 	345
AgMBM006	 pop_0 	AgermCT004 	345 	345
AgMBM007	 pop_0 	AgermCT004 	345 	345
AgMBM008	 pop_0 	AgermCT004 	345 	345
AgMBM009	 pop_0 	AgermCT004 	345 	345
AgMBM010	 pop_0 	AgermCT004 	345 	345
AgMBM011	 pop_0 	AgermCT004 	345 	345
AgMBM012	 pop_0 	AgermCT004 	345 	345
AgMBM013	 pop_0 	AgermCT004 	345 	345
AgMBM014	 pop_0 	AgermCT004 	345 	345
AgMBM015	 pop_0 	AgermCT004 	345 	345
AgMBM016	 pop_0 	AgermCT004 	345 	345
